Sample description: 
Sample:   c= 2.9 mg/ml  Code: LipH_dTMDdVD_Tris
Parent(s): analysis/processed/subtracted/LipH_dTMDdVD_Tris_0019_sub.dat
 1.099040e+000  2.087952e-003  7.990207e-005
 1.101820e+000  2.274379e-003  8.020662e-005
 1.104600e+000  2.198534e-003  7.945431e-005
 1.107390e+000  2.138945e-003  7.991359e-005
 1.110170e+000  2.122141e-003  7.907748e-005
 1.112950e+000  2.055259e-003  7.912697e-005
 1.115740e+000  2.216931e-003  7.918197e-005
 1.118520e+000  2.068417e-003  7.905248e-005
 1.121300e+000  2.057762e-003  7.914514e-005
 1.124090e+000  2.088397e-003  7.862255e-005
 1.126870e+000  2.067266e-003  7.856300e-005
 1.129650e+000  2.086186e-003  7.814224e-005
 1.132440e+000  1.991903e-003  7.832800e-005
 1.135220e+000  1.931793e-003  7.809714e-005
 1.138010e+000  1.961500e-003  7.777997e-005
 1.140790e+000  1.939403e-003  7.758141e-005
 1.143570e+000  2.028631e-003  7.795703e-005
 1.146360e+000  2.076159e-003  7.838231e-005
 1.149140e+000  1.960114e-003  7.737155e-005
 1.151920e+000  1.885503e-003  7.783410e-005
 1.154710e+000  1.929352e-003  7.778748e-005
 1.157490e+000  1.967200e-003  7.792848e-005
 1.160270e+000  1.924686e-003  7.753879e-005
 1.163060e+000  1.878152e-003  7.663334e-005
 1.165840e+000  2.016869e-003  7.740814e-005
 1.168620e+000  1.918400e-003  7.702552e-005
 1.171410e+000  1.852455e-003  7.702190e-005
 1.174190e+000  1.854672e-003  7.674766e-005
 1.176970e+000  1.665607e-003  7.615848e-005
 1.179760e+000  1.800783e-003  7.677448e-005
 1.182540e+000  1.835724e-003  7.660245e-005
 1.185330e+000  1.841407e-003  7.658403e-005
 1.188110e+000  1.688334e-003  7.596638e-005
 1.190890e+000  1.686886e-003  7.579128e-005
 1.193680e+000  1.790924e-003  7.624962e-005
 1.196460e+000  1.851579e-003  7.564303e-005
 1.199240e+000  1.629879e-003  7.548972e-005
 1.202030e+000  1.870386e-003  7.566103e-005
 1.204810e+000  1.712583e-003  7.542183e-005
 1.207590e+000  1.841990e-003  7.542897e-005
 1.210380e+000  1.679141e-003  7.468955e-005
 1.213160e+000  1.656400e-003  7.516097e-005
 1.215940e+000  1.681590e-003  7.479255e-005
 1.218730e+000  1.635393e-003  7.477710e-005
 1.221510e+000  1.771952e-003  7.455248e-005
 1.224290e+000  1.766010e-003  7.464800e-005
 1.227080e+000  1.724121e-003  7.439624e-005
 1.229860e+000  1.705338e-003  7.423097e-005
 1.232650e+000  1.711783e-003  7.367307e-005
 1.235430e+000  1.649114e-003  7.381472e-005
 1.238210e+000  1.649024e-003  7.344328e-005
 1.241000e+000  1.717814e-003  7.343207e-005
 1.243780e+000  1.639866e-003  7.303014e-005
 1.246560e+000  1.530510e-003  7.319641e-005
 1.249350e+000  1.655041e-003  7.274017e-005
 1.252130e+000  1.744262e-003  7.356431e-005
 1.254910e+000  1.633652e-003  7.262703e-005
 1.257700e+000  1.588752e-003  7.244321e-005
 1.260480e+000  1.575486e-003  7.275838e-005
 1.263260e+000  1.505593e-003  7.264569e-005
 1.266050e+000  1.552117e-003  7.211238e-005
 1.268830e+000  1.605941e-003  7.198790e-005
 1.271620e+000  1.599155e-003  7.222797e-005
 1.274400e+000  1.672255e-003  7.237869e-005
 1.277180e+000  1.576376e-003  7.200183e-005
 1.279970e+000  1.518286e-003  7.191659e-005
 1.282750e+000  1.392690e-003  7.155048e-005
 1.285530e+000  1.466824e-003  7.177572e-005
 1.288320e+000  1.562503e-003  7.175883e-005
 1.291100e+000  1.598514e-003  7.149210e-005
 1.293880e+000  1.466176e-003  7.154090e-005
 1.296670e+000  1.477572e-003  7.179028e-005
